DT_LEITURA,VL_TEMP_MEDIA
2019-02-04,20.0298000
2019-02-05,19.7731636
2019-02-06,18.2356545
2019-02-07,20.9549273
2019-02-08,23.2282909
2019-02-09,23.8535818
2019-02-10,25.6948182
2019-02-11,27.2888182
2019-02-12,24.6908000
2019-02-13,20.3326727
2019-02-14,20.3050182
2019-02-15,20.3536182
2019-02-16,21.5039636
2019-02-17,21.8560545
2019-02-18,23.8263273
2019-02-19,25.3122364
2019-02-20,24.6317455
2019-02-21,22.5941455
2019-02-22,23.1848545
2019-02-23,24.8227636
2019-02-24,26.4011455
2019-02-25,25.2666000
2019-02-26,21.2136364
2019-02-27,22.5161091
2019-02-28,21.0048727
2019-03-01,21.2610727
2019-03-02,22.2062182
2019-03-03,22.2363818
2019-03-04,22.9738000
2019-03-05,23.7266364
2019-03-06,24.2911636
2019-03-07,24.3334545
2019-03-08,25.1910364
2019-03-09,26.1918000
2019-03-10,22.9622000
2019-03-11,21.3506545
2019-03-12,23.2336364
2019-03-13,24.6095455
2019-03-14,23.7084000
2019-03-15,22.9035091
2019-03-16,23.5317273
2019-03-17,23.0846909
2019-03-18,25.7385273
2019-03-19,24.6603273
2019-03-20,22.4519091
2019-03-21,18.9817273
2019-03-22,18.9501636
2019-03-23,21.3336545
2019-03-24,22.6265636
2019-03-25,24.1928727
2019-03-26,23.4627273
2019-03-27,22.6670909
2019-03-28,20.8885273
2019-03-29,20.5521455
2019-03-30,21.1721818
2019-03-31,21.4392727
2019-04-01,21.7881091
2019-04-02,21.3828000
2019-04-03,22.6200364
2019-04-04,24.6418545
2019-04-05,26.2829273
2019-04-06,24.5356182
2019-04-07,23.1674727
2019-04-08,21.3616909
2019-04-09,19.7735455
2019-04-10,19.2060182
2019-04-11,21.1826545
2019-04-12,22.5925636
2019-04-13,22.7474364
2019-04-14,19.8759636
2019-04-15,21.7694000
2019-04-16,22.9932000
2019-04-17,22.1094364
2019-04-18,20.7743818
2019-04-19,20.8091455
2019-04-20,21.9754727
2019-04-21,23.5884545
2019-04-22,23.3112000
2019-04-23,22.8414909
2019-04-24,22.9286545
2019-04-25,23.4611091
2019-04-26,22.8840545
2019-04-27,23.9095091
2019-04-28,23.6664727
2019-04-29,20.1895818
2019-04-30,21.0916364
2019-05-01,21.5985273
2019-05-02,23.0820909
2019-05-03,23.9483091
2019-05-04,24.1037455
2019-05-05,22.9800909
2019-05-06,23.6419273
2019-05-07,21.2528182
2019-05-08,18.9651636
2019-05-09,19.2570000
2019-05-10,21.7490909
2019-05-11,22.8658909
2019-05-12,23.0156545
2019-05-13,22.5998364
2019-05-14,21.5569455
2019-05-15,18.7650364
2019-05-16,18.0950364
2019-05-17,18.0247818
2019-05-18,17.8484545
2019-05-19,18.7625818
2019-05-20,18.6030182
2019-05-21,19.0585455
2019-05-22,19.8569455
2019-05-23,20.4931636
2019-05-24,19.1888000
2019-05-25,15.7270545
2019-05-26,17.6968727
2019-05-27,18.9460545
2019-05-28,20.4838909
2019-05-29,20.5979091
2019-05-30,20.9764182
2019-05-31,23.9289091
2019-06-01,21.6582727
2019-06-02,18.6115818
2019-06-03,17.7110727
2019-06-04,14.8451273
2019-06-05,14.5909818
2019-06-06,16.4620909
2019-06-07,17.3109818
2019-06-08,16.5178000
2019-06-09,15.9365636
2019-06-10,16.7316364
2019-06-11,17.4883273
2019-06-12,19.6985091
2019-06-13,20.7098909
2019-06-14,21.7248727
2019-06-15,21.2415818
2019-06-16,21.0386364
2019-06-17,19.1522364
2019-06-18,18.8374182
2019-06-19,19.4999455
2019-06-20,18.9368545
2019-06-21,18.2966545
2019-06-22,18.6980000
2019-06-23,18.5691636
2019-06-24,19.9111273
2019-06-25,21.4367091
2019-06-26,21.8065636
2019-06-27,20.4048727
2019-06-28,21.5159273
2019-06-29,21.7087455
2019-06-30,21.5118909
2019-07-01,21.2276909
2019-07-02,20.9802545
2019-07-03,22.0280727
2019-07-04,17.8062182
2019-07-05,13.7242182
2019-07-06,10.1186727
2019-07-07,10.0818000
2019-07-08,12.2860182
2019-07-09,13.7202000
2019-07-10,14.9467273
2019-07-11,15.8554909
2019-07-12,16.6329091
2019-07-13,18.2919273
2019-07-14,19.3713455
2019-07-15,18.6900727
2019-07-16,15.4338000
2019-07-17,11.9993273
2019-07-18,14.2390182
2019-07-19,15.4208909
2019-07-20,16.2802727
2019-07-21,17.2836364
2019-07-22,19.7954727
2019-07-23,20.2875273
2019-07-24,19.9777636
2019-07-25,19.3750000
2019-07-26,20.0215455
2019-07-27,19.5579273
2019-07-28,18.5527273
2019-07-29,18.1206727
2019-07-30,18.3920909
2019-07-31,18.2963636
2019-08-01,19.0098182
2019-08-02,19.9916909
2019-08-03,12.4388909
2019-08-04,10.9524364
2019-08-05,13.7544727
2019-08-06,17.8264364
2019-08-07,20.1118182
2019-08-08,21.0164545
2019-08-09,21.3587636
2019-08-10,22.1852182
2019-08-11,19.8646909
2019-08-12,21.7276909
2019-08-13,18.7990364
2019-08-14,12.3668909
2019-08-15,14.2183273
2019-08-16,16.1547636
2019-08-17,18.9137273
2019-08-18,21.3682182
2019-08-19,17.8355636
2019-08-20,14.9196182
2019-08-21,15.7616182
2019-08-22,15.2742364
2019-08-23,16.0070727
2019-08-24,14.8922182
2019-08-25,15.3458545
2019-08-26,16.9401818
2019-08-27,17.7535455
2019-08-28,17.7186545
2019-08-29,19.0191636
2019-08-30,21.1417273
